score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.556,PENDENT,CELLERS MOST DORÉ S.L,MOST DORÉ,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.555555582046509,\""existent\"":\""CELLERS MOST DORÉ S.L\"",\""nou\"":\""MOST DORÉ\"",\""mateixa_poblacio\"":false}"""
0.552,PENDENT,PERE MARIMON MONTSERRAT,PERE MONTSERRAT ESTEVE,,,"""{\""nom_similar\"":true,\""score\"":0.551724135875702,\""existent\"":\""PERE MARIMON MONTSERRAT\"",\""nou\"":\""PERE MONTSERRAT ESTEVE\"",\""mateixa_poblacio\"":false}"""
0.549,PENDENT,"Centre Vinícola del Penedès, SCCL – Bellvei del Penedès","Centre Vinícola del Penedès, SCCL – L’Arboç (Km. 3,8)",Bellvei del Penedès,L’Arboç,"""{\""nom_similar\"":true,\""score\"":0.549019634723663,\""existent\"":\""Centre Vinícola del Penedès, SCCL – Bellvei del Penedès\"",\""nou\"":\""Centre Vinícola del Penedès, SCCL – L’Arboç (Km. 3,8)\"",\""mateixa_poblacio\"":false}"""
0.548,PENDENT,CAVAS BERNARD MASSARD S.A.,ke CAVES BERNARD MASSARD S.A (NOOOOO),,,"""{\""nom_similar\"":true,\""score\"":0.548387110233307,\""existent\"":\""CAVAS BERNARD MASSARD S.A.\"",\""nou\"":\""ke CAVES BERNARD MASSARD S.A (NOOOOO)\"",\""mateixa_poblacio\"":false}"""
0.545,PENDENT,"Vinicola De Sarral I Secció De Credit, S.C.C.L.","Agrícola i Secció de Crèdit de Salomó, SCCL",Sarral,Salomó,"""{\""nom_similar\"":true,\""score\"":0.545454561710358,\""existent\"":\""Vinicola De Sarral I Secció De Credit, S.C.C.L.\"",\""nou\"":\""Agrícola i Secció de Crèdit de Salomó, SCCL\"",\""mateixa_poblacio\"":false}"""
0.545,PENDENT,VINS NADAL S.L,Nadal,Torrelavit,Torrelavit,"""{\""nom_similar\"":true,\""score\"":0.545454561710358,\""existent\"":\""VINS NADAL S.L\"",\""nou\"":\""Nadal\"",\""mateixa_poblacio\"":false}"""
0.543,PENDENT,Explotacions Sadum{ Begues SA,"Explotaciones Sadurni Begas, S.A.",,Begues,"""{\""nom_similar\"":true,\""score\"":0.54285717010498,\""existent\"":\""Explotacions Sadum{ Begues SA\"",\""nou\"":\""Explotaciones Sadurni Begas, S.A.\"",\""mateixa_poblacio\"":false}"""
0.540,PENDENT,"Cooperativa Agrícola Sant Jaume de Benissanet, SCCL","Cooperativa Agrícola Sant Josep, SCCL",Benissanet,Bot,"""{\""nom_similar\"":true,\""score\"":0.540000021457672,\""existent\"":\""Cooperativa Agrícola Sant Jaume de Benissanet, SCCL\"",\""nou\"":\""Cooperativa Agrícola Sant Josep, SCCL\"",\""mateixa_poblacio\"":false}"""
0.538,PENDENT,J. PUJADO SL,Mas Pujadó,Ordal,Subirats,"""{\""nom_similar\"":true,\""score\"":0.538461565971375,\""existent\"":\""J. PUJADO SL\"",\""nou\"":\""Mas Pujadó\"",\""mateixa_poblacio\"":false}"""
0.533,PENDENT,AGUSTI TORELLO SA,Torelló,Sant Sadurní d'Anoia,Gelida,"""{\""nom_similar\"":true,\""score\"":0.533333361148834,\""existent\"":\""AGUSTI TORELLO SA\"",\""nou\"":\""Torelló\"",\""mateixa_poblacio\"":false}"""
0.531,PENDENT,J. GARCIA CARRION SA,"J. García Carrión, SA – Celler La Bleda",Madrid,Sant Martí Sarroca (La Bleda),"""{\""nom_similar\"":true,\""score\"":0.53125,\""existent\"":\""J. GARCIA CARRION SA\"",\""nou\"":\""J. García Carrión, SA – Celler La Bleda\"",\""mateixa_poblacio\"":false}"""
0.529,PENDENT,"Masolive, S.A.",Carbomas / Masolive S.A.,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.529411792755127,\""existent\"":\""Masolive, S.A.\"",\""nou\"":\""Carbomas / Masolive S.A.\"",\""mateixa_poblacio\"":false}"""
0.529,PENDENT,CAL’EUGENI S.C,CA L´EUGENI S.C.P,,,"""{\""nom_similar\"":true,\""score\"":0.529411792755127,\""existent\"":\""CAL’EUGENI S.C\"",\""nou\"":\""CA L´EUGENI S.C.P\"",\""mateixa_poblacio\"":false}"""
0.529,PENDENT,ROVELLATSSA : wie,Rovellats,Sant Martí Sarroca,Sant Martí Sarroca,"""{\""nom_similar\"":true,\""score\"":0.529411792755127,\""existent\"":\""ROVELLATSSA : wie\"",\""nou\"":\""Rovellats\"",\""mateixa_poblacio\"":false}"""
0.526,PENDENT,J.B. BERGER S.A.,"J.B. Berger, SA – Olèrdola",Santa Fe del Penedès,Olèrdola,"""{\""nom_similar\"":true,\""score\"":0.526315808296204,\""existent\"":\""J.B. BERGER S.A.\"",\""nou\"":\""J.B. Berger, SA – Olèrdola\"",\""mateixa_poblacio\"":false}"""
0.526,PENDENT,L'OLIVERA SCCL - CAN CALOPA,"L’Olivera, SCCL",Barcelona,Vallbona de les Monges,"""{\""nom_similar\"":true,\""score\"":0.526315808296204,\""existent\"":\""L'OLIVERA SCCL - CAN CALOPA\"",\""nou\"":\""L’Olivera, SCCL\"",\""mateixa_poblacio\"":false}"""
0.526,PENDENT,CELLERS MARIOL S.L,Cellers Maset,Batea,La Granada,"""{\""nom_similar\"":true,\""score\"":0.526315808296204,\""existent\"":\""CELLERS MARIOL S.L\"",\""nou\"":\""Cellers Maset\"",\""mateixa_poblacio\"":false}"""
0.526,PENDENT,BODEGUES SUMARROCA,Sumarroca,Subirats,Subirats,"""{\""nom_similar\"":true,\""score\"":0.526315808296204,\""existent\"":\""BODEGUES SUMARROCA\"",\""nou\"":\""Sumarroca\"",\""mateixa_poblacio\"":false}"""
0.525,PENDENT,"Cellers Domenys i SC, SCCL – Blancafort","Cellers Domenys i SC, SCCL – Rodonyà",Blancafort,Rodonyà,"""{\""nom_similar\"":true,\""score\"":0.524999976158142,\""existent\"":\""Cellers Domenys i SC, SCCL – Blancafort\"",\""nou\"":\""Cellers Domenys i SC, SCCL – Rodonyà\"",\""mateixa_poblacio\"":false}"""
0.520,PENDENT,ROS MASANA FELIX,Fèlix Massana Ràfols,,Sant Pau d'Ordal,"""{\""nom_similar\"":true,\""score\"":0.519999980926514,\""existent\"":\""ROS MASANA FELIX\"",\""nou\"":\""Fèlix Massana Ràfols\"",\""mateixa_poblacio\"":false}"""
0.519,PENDENT,"Centre Vinícola del Penedès, SCCL – Bellvei del Penedès","Centre Vinícola del Penedès, SCCL – Sant Sadurní d’Anoia",Bellvei del Penedès,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.518518507480621,\""existent\"":\""Centre Vinícola del Penedès, SCCL – Bellvei del Penedès\"",\""nou\"":\""Centre Vinícola del Penedès, SCCL – Sant Sadurní d’Anoia\"",\""mateixa_poblacio\"":false}"""
0.515,PENDENT,"Celler Cooperatiu d'Artes, S.C.C.L.","Celler Cooperatiu Gandesa, SCCL",Artés,Gandesa,"""{\""nom_similar\"":true,\""score\"":0.515151500701904,\""existent\"":\""Celler Cooperatiu d'Artes, S.C.C.L.\"",\""nou\"":\""Celler Cooperatiu Gandesa, SCCL\"",\""mateixa_poblacio\"":false}"""
0.515,PENDENT,CELLER COOPERATIU CORNUDELLA,"Celler Cooperatiu d'Artes, S.C.C.L.",Cornudella de Montsant,Artés,"""{\""nom_similar\"":true,\""score\"":0.515151500701904,\""existent\"":\""CELLER COOPERATIU CORNUDELLA\"",\""nou\"":\""Celler Cooperatiu d'Artes, S.C.C.L.\"",\""mateixa_poblacio\"":false}"""
0.515,PENDENT,CELLER COOPERATIU CORNUDELLA,"Celler Cooperatiu Gandesa, SCCL",Cornudella de Montsant,Gandesa,"""{\""nom_similar\"":true,\""score\"":0.515151500701904,\""existent\"":\""CELLER COOPERATIU CORNUDELLA\"",\""nou\"":\""Celler Cooperatiu Gandesa, SCCL\"",\""mateixa_poblacio\"":false}"""
0.515,PENDENT,"Celler Cooperatiu de Moja, SCCL","Celler Cooperatiu Gandesa, SCCL",Olèrdola,Gandesa,"""{\""nom_similar\"":true,\""score\"":0.515151500701904,\""existent\"":\""Celler Cooperatiu de Moja, SCCL\"",\""nou\"":\""Celler Cooperatiu Gandesa, SCCL\"",\""mateixa_poblacio\"":false}"""
0.515,PENDENT,CELLER COOPERATIU CORNUDELLA,"Celler Cooperatiu de Moja, SCCL",Cornudella de Montsant,Olèrdola,"""{\""nom_similar\"":true,\""score\"":0.515151500701904,\""existent\"":\""CELLER COOPERATIU CORNUDELLA\"",\""nou\"":\""Celler Cooperatiu de Moja, SCCL\"",\""mateixa_poblacio\"":false}"""
0.514,PENDENT,CELLER COOPERATIU CORNUDELLA,Celler Cooperatiu La Granada,Cornudella de Montsant,La Granada,"""{\""nom_similar\"":true,\""score\"":0.514285743236542,\""existent\"":\""CELLER COOPERATIU CORNUDELLA\"",\""nou\"":\""Celler Cooperatiu La Granada\"",\""mateixa_poblacio\"":false}"""
0.512,PENDENT,COOPERATIVA AGRÍCOLA DE BATEA,"Cooperativa Agrícola Sant Josep, SCCL",Batea,Bot,"""{\""nom_similar\"":true,\""score\"":0.512195110321045,\""existent\"":\""COOPERATIVA AGRÍCOLA DE BATEA\"",\""nou\"":\""Cooperativa Agrícola Sant Josep, SCCL\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,MAS BERTRAN VITICULTORS S.L,Mas Bertran,Sant Martí Sarroca,Sant Martí Sarroca,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""MAS BERTRAN VITICULTORS S.L\"",\""nou\"":\""Mas Bertran\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,CELLER VELL S.A,Celler Viader,Sant Sadurní d'Anoia,Gelida,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""CELLER VELL S.A\"",\""nou\"":\""Celler Viader\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,CELLER CAN PAGES S.L.,Celler Can Marlès,Avinyonet del Penedès,El Montmell,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""CELLER CAN PAGES S.L.\"",\""nou\"":\""Celler Can Marlès\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,ANTONIO MASCARO SL,Mascaró,Vilafranca del Penedès,Vilafranca del Penedès,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""ANTONIO MASCARO SL\"",\""nou\"":\""Mascaró\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,"Cellers Domenys i SC, SCCL – Rocafort de Queralt","Cellers Domenys i SC, SCCL – Rodonyà",Rocafort de Queralt,Rodonyà,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""Cellers Domenys i SC, SCCL – Rocafort de Queralt\"",\""nou\"":\""Cellers Domenys i SC, SCCL – Rodonyà\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,MONTSERRAT DURAN ESTEVE,MONTSERRAT ESTEVE MARTIN PEDRO,,,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""MONTSERRAT DURAN ESTEVE\"",\""nou\"":\""MONTSERRAT ESTEVE MARTIN PEDRO\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,"Bodegas Muga, S.L.","Bodegas Muviedro, SA",Haro,Requena,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""Bodegas Muga, S.L.\"",\""nou\"":\""Bodegas Muviedro, SA\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,"Enric Nadal, SLU",Nadal,Torrelavit,Torrelavit,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""Enric Nadal, SLU\"",\""nou\"":\""Nadal\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,COOPERATIVA AGRÍCOLA DE BATEA,"Cooperativa Agrícola Sant Jaume de Benissanet, SCCL",Batea,Benissanet,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""COOPERATIVA AGRÍCOLA DE BATEA\"",\""nou\"":\""Cooperativa Agrícola Sant Jaume de Benissanet, SCCL\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,"Cooperativa Agrícola de Barberà, SCCL","Cooperativa Agrícola Sant Josep, SCCL",Barberà de la Conca,Bot,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""Cooperativa Agrícola de Barberà, SCCL\"",\""nou\"":\""Cooperativa Agrícola Sant Josep, SCCL\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,"Eikon Estate, SL","Eikon Estate, SL MIQUEL JANÉ",Font-Rubí,Font-Rubí,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""Eikon Estate, SL\"",\""nou\"":\""Eikon Estate, SL MIQUEL JANÉ\"",\""mateixa_poblacio\"":false}"""
0.500,PENDENT,Miquel Jané,"Eikon Estate, SL MIQUEL JANÉ",Font-Rubí,Font-Rubí,"""{\""nom_similar\"":true,\""score\"":0.5,\""existent\"":\""Miquel Jané\"",\""nou\"":\""Eikon Estate, SL MIQUEL JANÉ\"",\""mateixa_poblacio\"":false}"""
0.491,PENDENT,"Centre Vinícola del Penedès, SCCL – Bellvei del Penedès","Centre Vinícola del Penedès, SCCL – L’Arboç (Camí Taberner)",Bellvei del Penedès,L’Arboç,"""{\""nom_similar\"":true,\""score\"":0.491228073835373,\""existent\"":\""Centre Vinícola del Penedès, SCCL – Bellvei del Penedès\"",\""nou\"":\""Centre Vinícola del Penedès, SCCL – L’Arboç (Camí Taberner)\"",\""mateixa_poblacio\"":false}"""
0.490,PENDENT,"Vinicola De Sarral I Secció De Credit, S.C.C.L.","Vinicola I Sec. Credit S. Isidre De Nulles, S.C.C.L.",Sarral,Nulles,"""{\""nom_similar\"":true,\""score\"":0.489795923233032,\""existent\"":\""Vinicola De Sarral I Secció De Credit, S.C.C.L.\"",\""nou\"":\""Vinicola I Sec. Credit S. Isidre De Nulles, S.C.C.L.\"",\""mateixa_poblacio\"":false}"""
0.490,PENDENT,"Cooperativa Agrícola de Barberà, SCCL","Cooperativa Agrícola Sant Jaume de Benissanet, SCCL",Barberà de la Conca,Benissanet,"""{\""nom_similar\"":true,\""score\"":0.490196079015732,\""existent\"":\""Cooperativa Agrícola de Barberà, SCCL\"",\""nou\"":\""Cooperativa Agrícola Sant Jaume de Benissanet, SCCL\"",\""mateixa_poblacio\"":false}"""
0.489,PENDENT,"Cooperativa Agrícola de Barberà, SCCL","Cooperativa Agrícola i SC Terra Alta, SCCL",Barberà de la Conca,La Pobla de Massaluca,"""{\""nom_similar\"":true,\""score\"":0.488888889551163,\""existent\"":\""Cooperativa Agrícola de Barberà, SCCL\"",\""nou\"":\""Cooperativa Agrícola i SC Terra Alta, SCCL\"",\""mateixa_poblacio\"":false}"""
0.488,PENDENT,"Cellers Domenys i SC, SCCL – Rodonyà","Cellers Domenys i SC, SCCL – Sant Jaume dels Domenys",Rodonyà,Sant Jaume dels Domenys,"""{\""nom_similar\"":true,\""score\"":0.488372087478638,\""existent\"":\""Cellers Domenys i SC, SCCL – Rodonyà\"",\""nou\"":\""Cellers Domenys i SC, SCCL – Sant Jaume dels Domenys\"",\""mateixa_poblacio\"":false}"""
0.485,PENDENT,CAN GALLEGO VITICULTORS SCP,VITICULTORS DE CAN SUMOI S.L.U,,,"""{\""nom_similar\"":true,\""score\"":0.484848499298096,\""existent\"":\""CAN GALLEGO VITICULTORS SCP\"",\""nou\"":\""VITICULTORS DE CAN SUMOI S.L.U\"",\""mateixa_poblacio\"":false}"""
0.484,PENDENT,ALEJANDRO GARRIDO ROMAN,ANTONIO GARRIDO ROMAN,,,"""{\""nom_similar\"":true,\""score\"":0.483870953321457,\""existent\"":\""ALEJANDRO GARRIDO ROMAN\"",\""nou\"":\""ANTONIO GARRIDO ROMAN\"",\""mateixa_poblacio\"":false}"""
0.484,PENDENT,Martí Grau Viticultors,Ros Marina Viticultors,Sant Martí Sarroca,Guardiola de Font-rubi,"""{\""nom_similar\"":true,\""score\"":0.483870953321457,\""existent\"":\""Martí Grau Viticultors\"",\""nou\"":\""Ros Marina Viticultors\"",\""mateixa_poblacio\"":false}"""
0.483,PENDENT,"Centre Vinícola del Penedès, SCCL – L’Arboç (Km. 3,8)","Centre Vinícola del Penedès, SCCL – Sant Sadurní d’Anoia",L’Arboç,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.483333319425583,\""existent\"":\""Centre Vinícola del Penedès, SCCL – L’Arboç (Km. 3,8)\"",\""nou\"":\""Centre Vinícola del Penedès, SCCL – Sant Sadurní d’Anoia\"",\""mateixa_poblacio\"":false}"""
0.480,PENDENT,Celler Can Marlès,"Celler Carles Andreu, S.L.",El Montmell,Pira,"""{\""nom_similar\"":true,\""score\"":0.479999989271164,\""existent\"":\""Celler Can Marlès\"",\""nou\"":\""Celler Carles Andreu, S.L.\"",\""mateixa_poblacio\"":false}"""
0.480,PENDENT,Mulet Viticultors,"Espelt Viticultors, SL",Vilafranca del Penedès,Vilajuïga,"""{\""nom_similar\"":true,\""score\"":0.479999989271164,\""existent\"":\""Mulet Viticultors\"",\""nou\"":\""Espelt Viticultors, SL\"",\""mateixa_poblacio\"":false}"""
0.480,PENDENT,OLIVER VITICULTORS S.L ‘,Mulet Viticultors,Subirats,Vilafranca del Penedès,"""{\""nom_similar\"":true,\""score\"":0.479999989271164,\""existent\"":\""OLIVER VITICULTORS S.L ‘\"",\""nou\"":\""Mulet Viticultors\"",\""mateixa_poblacio\"":false}"""
0.480,PENDENT,Mª BLANCA BUTÍ MASANA,Caves Butí Masana,,,"""{\""nom_similar\"":true,\""score\"":0.479999989271164,\""existent\"":\""Mª BLANCA BUTÍ MASANA\"",\""nou\"":\""Caves Butí Masana\"",\""mateixa_poblacio\"":false}"""
0.478,PENDENT,"PARATO VINÍCOLA S.L ; &","Vinicola Del Pais, S.A.U.",El Pla del Penedès,Castellví de la Marca,"""{\""nom_similar\"":true,\""score\"":0.47826087474823,\""existent\"":\""PARATO VINÍCOLA S.L ; &\"",\""nou\"":\""Vinicola Del Pais, S.A.U.\"",\""mateixa_poblacio\"":false}"""
0.476,PENDENT,CELLER CAL FERU S.L,"Celler Cal Costas, SL",,Font-Rubí,"""{\""nom_similar\"":true,\""score\"":0.476190477609634,\""existent\"":\""CELLER CAL FERU S.L\"",\""nou\"":\""Celler Cal Costas, SL\"",\""mateixa_poblacio\"":false}"""
0.476,PENDENT,"Celler Cooperatiu de Moja, SCCL","Celler Cooperatiu i SC de Vila-Rodona, SCCL",Olèrdola,Vila-Rodona,"""{\""nom_similar\"":true,\""score\"":0.476190477609634,\""existent\"":\""Celler Cooperatiu de Moja, SCCL\"",\""nou\"":\""Celler Cooperatiu i SC de Vila-Rodona, SCCL\"",\""mateixa_poblacio\"":false}"""
0.472,PENDENT,VITICULTORS DE CAN SUMOI S.L.U,Celler de Viticultors SAT CAT 22,,Vilanova i la Geltrú,"""{\""nom_similar\"":true,\""score\"":0.472222208976746,\""existent\"":\""VITICULTORS DE CAN SUMOI S.L.U\"",\""nou\"":\""Celler de Viticultors SAT CAT 22\"",\""mateixa_poblacio\"":false}"""
0.472,PENDENT,Celler Cooperatiu La Granada,"Celler Cooperatiu de Moja, SCCL",La Granada,Olèrdola,"""{\""nom_similar\"":true,\""score\"":0.472222208976746,\""existent\"":\""Celler Cooperatiu La Granada\"",\""nou\"":\""Celler Cooperatiu de Moja, SCCL\"",\""mateixa_poblacio\"":false}"""
0.472,PENDENT,Celler Cooperatiu La Granada,"Celler Cooperatiu d'Artes, S.C.C.L.",La Granada,Artés,"""{\""nom_similar\"":true,\""score\"":0.472222208976746,\""existent\"":\""Celler Cooperatiu La Granada\"",\""nou\"":\""Celler Cooperatiu d'Artes, S.C.C.L.\"",\""mateixa_poblacio\"":false}"""
0.471,PENDENT,BODEGAS LAN SA,"Bodegas Muga, S.L.",Fuenmayor,Haro,"""{\""nom_similar\"":true,\""score\"":0.470588237047195,\""existent\"":\""BODEGAS LAN SA\"",\""nou\"":\""Bodegas Muga, S.L.\"",\""mateixa_poblacio\"":false}"""
0.471,PENDENT,BODEGAS LAN SA,Bodegas 1898 S.L.,Fuenmayor,Fonollosa,"""{\""nom_similar\"":true,\""score\"":0.470588237047195,\""existent\"":\""BODEGAS LAN SA\"",\""nou\"":\""Bodegas 1898 S.L.\"",\""mateixa_poblacio\"":false}"""
0.471,PENDENT,CAL SABATE S.C.P,SABATÉ I COCA SA,,,"""{\""nom_similar\"":true,\""score\"":0.470588237047195,\""existent\"":\""CAL SABATE S.C.P\"",\""nou\"":\""SABATÉ I COCA SA\"",\""mateixa_poblacio\"":false}"""
0.469,PENDENT,"Vinicola De Sarral I Secció De Credit, S.C.C.L.","Agrícola i Secció de Crèdit La Ginesta, SCCL",Sarral,Ginestar,"""{\""nom_similar\"":true,\""score\"":0.469387769699097,\""existent\"":\""Vinicola De Sarral I Secció De Credit, S.C.C.L.\"",\""nou\"":\""Agrícola i Secció de Crèdit La Ginesta, SCCL\"",\""mateixa_poblacio\"":false}"""
0.468,PENDENT,"Centre Vinícola del Penedès, SCCL – Bellvei del Penedès","Cooperativa Vinícola del Penedès, SCCL",Bellvei del Penedès,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.468085110187531,\""existent\"":\""Centre Vinícola del Penedès, SCCL – Bellvei del Penedès\"",\""nou\"":\""Cooperativa Vinícola del Penedès, SCCL\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,BODEGAS PINORD S.A,Pinord,Vilafranca del Penedès,Vilafranca del Penedès,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""BODEGAS PINORD S.A\"",\""nou\"":\""Pinord\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,CELLERS JOSEP Mª FERRET,JOSEP FERRET I MATEU,Font-Rubí,,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""CELLERS JOSEP Mª FERRET\"",\""nou\"":\""JOSEP FERRET I MATEU\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,"Aymar Vitivinícoles, SL",DERIVADOS VITIVINICOLES SLU,Vimbodí,,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""Aymar Vitivinícoles, SL\"",\""nou\"":\""DERIVADOS VITIVINICOLES SLU\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,JAUME RIBAS NOGUES,JOSEP MARIA RIBAS NOGUES,,,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""JAUME RIBAS NOGUES\"",\""nou\"":\""JOSEP MARIA RIBAS NOGUES\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,Celler Domenys,"Cellers Domenys i SC, SCCL – Rodonyà",Sant Jaume dels Domenys,Rodonyà,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""Celler Domenys\"",\""nou\"":\""Cellers Domenys i SC, SCCL – Rodonyà\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,Mas Candí,"Can Dez Mas, SL",Avinyonet del Penedès,Esparreguera,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""Mas Candí\"",\""nou\"":\""Can Dez Mas, SL\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,COOPERATIVA AGRÍCOLA DE BATEA,"Cooperativa Agrícola i SC Terra Alta, SCCL",Batea,La Pobla de Massaluca,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""COOPERATIVA AGRÍCOLA DE BATEA\"",\""nou\"":\""Cooperativa Agrícola i SC Terra Alta, SCCL\"",\""mateixa_poblacio\"":false}"""
0.467,PENDENT,Pere Olivella Galimany,"Olivella Rovira, Pere",Font-Rubí,Font-Rubí,"""{\""nom_similar\"":true,\""score\"":0.466666668653488,\""existent\"":\""Pere Olivella Galimany\"",\""nou\"":\""Olivella Rovira, Pere\"",\""mateixa_poblacio\"":false}"""
0.464,PENDENT,Martí Grau Viticultors,Mulet Viticultors,Sant Martí Sarroca,Vilafranca del Penedès,"""{\""nom_similar\"":true,\""score\"":0.46428570151329,\""existent\"":\""Martí Grau Viticultors\"",\""nou\"":\""Mulet Viticultors\"",\""mateixa_poblacio\"":false}"""
0.464,PENDENT,Mulet Viticultors,Ros Marina Viticultors,Vilafranca del Penedès,Guardiola de Font-rubi,"""{\""nom_similar\"":true,\""score\"":0.46428570151329,\""existent\"":\""Mulet Viticultors\"",\""nou\"":\""Ros Marina Viticultors\"",\""mateixa_poblacio\"":false}"""
0.463,PENDENT,"Cellers Domenys i SC, SCCL – Rodonyà",CELLERS DOMENYS I SECCIO CREDIT SCCL,Rodonyà,,"""{\""nom_similar\"":true,\""score\"":0.463414639234543,\""existent\"":\""Cellers Domenys i SC, SCCL – Rodonyà\"",\""nou\"":\""CELLERS DOMENYS I SECCIO CREDIT SCCL\"",\""mateixa_poblacio\"":false}"""
0.462,PENDENT,Mulet Viticultors,"Viticultors Bateans, SCCL",Vilafranca del Penedès,Batea,"""{\""nom_similar\"":true,\""score\"":0.461538463830948,\""existent\"":\""Mulet Viticultors\"",\""nou\"":\""Viticultors Bateans, SCCL\"",\""mateixa_poblacio\"":false}"""
0.462,PENDENT,"Bodegas Muviedro, SA","Bodegas Pedro Masana, SA",Requena,Móra la Nova,"""{\""nom_similar\"":true,\""score\"":0.461538463830948,\""existent\"":\""Bodegas Muviedro, SA\"",\""nou\"":\""Bodegas Pedro Masana, SA\"",\""mateixa_poblacio\"":false}"""
0.462,PENDENT,OLIVER VITICULTORS S.L ‘,"Espelt Viticultors, SL",Subirats,Vilajuïga,"""{\""nom_similar\"":true,\""score\"":0.461538463830948,\""existent\"":\""OLIVER VITICULTORS S.L ‘\"",\""nou\"":\""Espelt Viticultors, SL\"",\""mateixa_poblacio\"":false}"""
0.462,PENDENT,"Agrícola de Corbera d’Ebre, SCCL","Cooperativa Agrícola de Barberà, SCCL",Corbera d’Ebre,Barberà de la Conca,"""{\""nom_similar\"":true,\""score\"":0.461538463830948,\""existent\"":\""Agrícola de Corbera d’Ebre, SCCL\"",\""nou\"":\""Cooperativa Agrícola de Barberà, SCCL\"",\""mateixa_poblacio\"":false}"""
0.462,PENDENT,HERETAT MAS JORNET SL ‘,HERETAT MAS TINELL SL,,Vilafranca del Penedès,"""{\""nom_similar\"":true,\""score\"":0.461538463830948,\""existent\"":\""HERETAT MAS JORNET SL ‘\"",\""nou\"":\""HERETAT MAS TINELL SL\"",\""mateixa_poblacio\"":false}"""
0.459,PENDENT,"Colomer Elaboradors Artesans, S.L.",COLET ROMERO ELABORADORS SL,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.459459453821182,\""existent\"":\""Colomer Elaboradors Artesans, S.L.\"",\""nou\"":\""COLET ROMERO ELABORADORS SL\"",\""mateixa_poblacio\"":false}"""
0.458,PENDENT,BODEGAS LAN SA,BODEGAS LANGA HERMANOS SL,Fuenmayor,Calatayud,"""{\""nom_similar\"":true,\""score\"":0.458333343267441,\""existent\"":\""BODEGAS LAN SA\"",\""nou\"":\""BODEGAS LANGA HERMANOS SL\"",\""mateixa_poblacio\"":false}"""
0.457,PENDENT,"Cellers Domenys i SC, SCCL – Blancafort","Cellers Domenys i SC, SCCL – Sant Jaume dels Domenys",Blancafort,Sant Jaume dels Domenys,"""{\""nom_similar\"":true,\""score\"":0.45652174949646,\""existent\"":\""Cellers Domenys i SC, SCCL – Blancafort\"",\""nou\"":\""Cellers Domenys i SC, SCCL – Sant Jaume dels Domenys\"",\""mateixa_poblacio\"":false}"""
