score,decision,empresa_existent,empresa_nova,municipi_existent,municipi_nou,senyals
0.824,PENDENT,NURIA POCH URPI,POCH URPI NURI,,,"""{\""nom_similar\"":true,\""score\"":0.823529422283173,\""existent\"":\""NURIA POCH URPI\"",\""nou\"":\""POCH URPI NURI\"",\""mateixa_poblacio\"":false}"""
0.818,PENDENT,DALMAU HNOS Y CIA SA,DALMAU HNOS. Y CIA SUC S.A.,,,"""{\""nom_similar\"":true,\""score\"":0.818181812763214,\""existent\"":\""DALMAU HNOS Y CIA SA\"",\""nou\"":\""DALMAU HNOS. Y CIA SUC S.A.\"",\""mateixa_poblacio\"":false}"""
0.818,PENDENT,CODORNIU S,"Codorniu, SA",Sant Sadurní d'Anoia,Sant Esteve Sesrovires,"""{\""nom_similar\"":true,\""score\"":0.818181812763214,\""existent\"":\""CODORNIU S\"",\""nou\"":\""Codorniu, SA\"",\""mateixa_poblacio\"":false}"""
0.813,PENDENT,"Marques De La Concordia Family Of Wines, S.L.U.","Marques de Monistrol – Marqués de la Concordia Family of Wines, SL",Sant Sadurní d'Anoia,Sant Sadurní d’Anoia,"""{\""nom_similar\"":true,\""score\"":0.8125,\""existent\"":\""Marques De La Concordia Family Of Wines, S.L.U.\"",\""nou\"":\""Marques de Monistrol – Marqués de la Concordia Family of Wines, SL\"",\""mateixa_poblacio\"":false}"""
0.800,PENDENT,"Montserrat Esteve, Pedro",MONTSERRAT ESTEVE MARTIN PEDRO,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.800000011920929,\""existent\"":\""Montserrat Esteve, Pedro\"",\""nou\"":\""MONTSERRAT ESTEVE MARTIN PEDRO\"",\""mateixa_poblacio\"":false}"""
0.784,PENDENT,BRINS D'OPORTUNITATS EMPRESA D'INSERCIO S.L,BRINS D´OPORTUNITATS EMPRESA D´,,,"""{\""nom_similar\"":true,\""score\"":0.783783793449402,\""existent\"":\""BRINS D'OPORTUNITATS EMPRESA D'INSERCIO S.L\"",\""nou\"":\""BRINS D´OPORTUNITATS EMPRESA D´\"",\""mateixa_poblacio\"":false}"""
0.783,PENDENT,Mª BLANCA BUTÍ MASANA,"Buti Masana, Maria Blanca",,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.782608687877655,\""existent\"":\""Mª BLANCA BUTÍ MASANA\"",\""nou\"":\""Buti Masana, Maria Blanca\"",\""mateixa_poblacio\"":false}"""
0.769,PENDENT,UNITED WINERIES ESTATES S.A.U,UNITED WENERIES ESTATES S.L.U,,,"""{\""nom_similar\"":true,\""score\"":0.769230782985687,\""existent\"":\""UNITED WINERIES ESTATES S.A.U\"",\""nou\"":\""UNITED WENERIES ESTATES S.L.U\"",\""mateixa_poblacio\"":false}"""
0.765,PENDENT,LA GRAMANOSA S.L dys,La Gramanosa,,,"""{\""nom_similar\"":true,\""score\"":0.764705896377563,\""existent\"":\""LA GRAMANOSA S.L dys\"",\""nou\"":\""La Gramanosa\"",\""mateixa_poblacio\"":false}"""
0.750,PENDENT,DERIVADOS VITIVINICOLES GARRIDO SLU,DERIVADOS VITIVINICOLES SLU,,,"""{\""nom_similar\"":true,\""score\"":0.75,\""existent\"":\""DERIVADOS VITIVINICOLES GARRIDO SLU\"",\""nou\"":\""DERIVADOS VITIVINICOLES SLU\"",\""mateixa_poblacio\"":false}"""
0.750,PENDENT,AGUSTI TORELLO SA,Agustí Torelló Mata,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.75,\""existent\"":\""AGUSTI TORELLO SA\"",\""nou\"":\""Agustí Torelló Mata\"",\""mateixa_poblacio\"":false}"""
0.750,PENDENT,JOAN RAVENTOS ROSELL S.L,RAVENTOS ROSELL S.L,,Masquefa,"""{\""nom_similar\"":true,\""score\"":0.75,\""existent\"":\""JOAN RAVENTOS ROSELL S.L\"",\""nou\"":\""RAVENTOS ROSELL S.L\"",\""mateixa_poblacio\"":false}"""
0.750,PENDENT,BERRAL I MIRO SL,BERRAL Y MIRÓ SL,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.75,\""existent\"":\""BERRAL I MIRO SL\"",\""nou\"":\""BERRAL Y MIRÓ SL\"",\""mateixa_poblacio\"":false}"""
0.743,PENDENT,DASHANG INVESTMENT TRADING S,DASHANG INVESTMENT TRADING ESPAÑA SLU,,,"""{\""nom_similar\"":true,\""score\"":0.742857158184052,\""existent\"":\""DASHANG INVESTMENT TRADING S\"",\""nou\"":\""DASHANG INVESTMENT TRADING ESPAÑA SLU\"",\""mateixa_poblacio\"":false}"""
0.743,PENDENT,COOPERATIVA AGRÍCOLA DE BATEA,"Cooperativa Agrícola de Barberà, SCCL",Batea,Barberà de la Conca,"""{\""nom_similar\"":true,\""score\"":0.742857158184052,\""existent\"":\""COOPERATIVA AGRÍCOLA DE BATEA\"",\""nou\"":\""Cooperativa Agrícola de Barberà, SCCL\"",\""mateixa_poblacio\"":false}"""
0.741,PENDENT,PERE MONTSERRAT ESTEVE,"Montserrat Esteve, Pedro",,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.740740716457367,\""existent\"":\""PERE MONTSERRAT ESTEVE\"",\""nou\"":\""Montserrat Esteve, Pedro\"",\""mateixa_poblacio\"":false}"""
0.741,PENDENT,FRANCISCO DOMINGUEZ,Francisco Dominguez Cruces,,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.740740716457367,\""existent\"":\""FRANCISCO DOMINGUEZ\"",\""nou\"":\""Francisco Dominguez Cruces\"",\""mateixa_poblacio\"":false}"""
0.739,PENDENT,JOAN SEGURA PUJADAS ‘,SEGURA PUJADES JOAN,Torrelavit,,"""{\""nom_similar\"":true,\""score\"":0.739130437374115,\""existent\"":\""JOAN SEGURA PUJADAS ‘\"",\""nou\"":\""SEGURA PUJADES JOAN\"",\""mateixa_poblacio\"":false}"""
0.737,PENDENT,TORRENS MOLINER S.L,TORRENTS MOLINER SL,Sant Sadurní d'Anoia,,"""{\""nom_similar\"":true,\""score\"":0.736842095851898,\""existent\"":\""TORRENS MOLINER S.L\"",\""nou\"":\""TORRENTS MOLINER SL\"",\""mateixa_poblacio\"":false}"""
0.714,PENDENT,DALMAU HNOS. Y CIA SUC S.A.,"Dalmau Hermanos y Cía. Suc., SA",,Tarragona,"""{\""nom_similar\"":true,\""score\"":0.714285731315613,\""existent\"":\""DALMAU HNOS. Y CIA SUC S.A.\"",\""nou\"":\""Dalmau Hermanos y Cía. Suc., SA\"",\""mateixa_poblacio\"":false}"""
0.704,PENDENT,SUCESORES DE RAFAEL DE CAMPS S.C.P,"Suc. De Rafael De Camps, S.C.P.",,Subirats,"""{\""nom_similar\"":true,\""score\"":0.703703701496124,\""existent\"":\""SUCESORES DE RAFAEL DE CAMPS S.C.P\"",\""nou\"":\""Suc. De Rafael De Camps, S.C.P.\"",\""mateixa_poblacio\"":false}"""
0.704,PENDENT,JAUME ROSINES POCH,Cava Rusines / Jaume Rosines Poch,,,"""{\""nom_similar\"":true,\""score\"":0.703703701496124,\""existent\"":\""JAUME ROSINES POCH\"",\""nou\"":\""Cava Rusines / Jaume Rosines Poch\"",\""mateixa_poblacio\"":false}"""
0.688,PENDENT,VC MONASTELL SL,"V.C. Monastell, S.L.",,Sant Sadurní d'Anoia,"""{\""nom_similar\"":true,\""score\"":0.6875,\""existent\"":\""VC MONASTELL SL\"",\""nou\"":\""V.C. Monastell, S.L.\"",\""mateixa_poblacio\"":false}"""
