fitxer,full,fila,resultat,motiu,dades
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,46,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000010\"",\""DATA GUIA\"":\""2024-08-28T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""13220\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,47,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000011\"",\""DATA GUIA\"":\""2024-09-29T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""7440\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,48,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000012\"",\""DATA GUIA\"":\""2024-08-30T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9740\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/10\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,49,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000013\"",\""DATA GUIA\"":\""2024-08-30T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9660\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,50,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000014\"",\""DATA GUIA\"":\""2024-08-31T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""11460\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,51,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000015\"",\""DATA GUIA\"":\""2024-08-31T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9840\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,52,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000016\"",\""DATA GUIA\"":\""2024-08-31T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""12340\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/9\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,53,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000017\"",\""DATA GUIA\"":\""2024-09-02T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""15540\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,54,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000018\"",\""DATA GUIA\"":\""2024-09-02T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9920\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,55,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000019\"",\""DATA GUIA\"":\""2024-09-03T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""13100\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,56,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000020\"",\""DATA GUIA\"":\""2024-09-03T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9500\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,57,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000021\"",\""DATA GUIA\"":\""2024-09-04T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""13360\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,58,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000023\"",\""DATA GUIA\"":\""2024-09-11T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""13200\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/22\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,59,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000024\"",\""DATA GUIA\"":\""2024-09-10T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""10880\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,60,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000025\"",\""DATA GUIA\"":\""2024-09-08T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9340\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/15\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,61,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000026\"",\""DATA GUIA\"":\""2024-09-10T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""9280\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/22\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,62,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000027\"",\""DATA GUIA\"":\""2024-09-13T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""15880\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/22\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,63,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000028\"",\""DATA GUIA\"":\""2024-09-16T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""14600\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/22\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,64,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000029\"",\""DATA GUIA\"":\""2024-09-16T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""14320\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/22\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,65,EXCLOSA,subproducte BRISA,"""{\""DOCUMENT\"":\""DAV\"",\""Nº GUIA\"":\""24000000031\"",\""DATA GUIA\"":\""2024-09-18T00:00:00.000Z\"",\""CLIENT\"":\""CADES PENEDÈS SA\"",\""PRODUCTE\"":\""BRISA\"",\""LITRES\"":null,\""KG\"":\""14340\"",\""GRAU EMCS\"":\""3\"",\""GRAU REAL\"":null,\""PREU\"":null,\""TOTAL\"":\""[object Object]\"",\""VTO\"":null,\""Nº FACT.\"":\""224/22\"",\""VI VELL\"":null,\""COLLITA 2024\"":null,\""VI TÈRBOL\"":null,\""ECO\"":null,\""B / N\"":null,\""IMPORT VELL\"":null,\""IMPORT 2024\"":null,\""COMPROB.\"":null,\""col_22\"":null,\""col_23\"":null,\""col_24\"":null,\""col_25\"":null,\""col_26\"":null}"""
