fitxer,full,fila,resultat,motiu,dades
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,49,EXCLOSA,subproducte BRISA,"{""KG"": ""9660"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000013"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-30T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,50,EXCLOSA,subproducte BRISA,"{""KG"": ""11460"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000014"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-31T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,51,EXCLOSA,subproducte BRISA,"{""KG"": ""9840"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000015"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-31T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,52,EXCLOSA,subproducte BRISA,"{""KG"": ""12340"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000016"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-31T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,53,EXCLOSA,subproducte BRISA,"{""KG"": ""15540"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000017"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-02T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,54,EXCLOSA,subproducte BRISA,"{""KG"": ""9920"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000018"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-02T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,55,EXCLOSA,subproducte BRISA,"{""KG"": ""13100"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000019"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-03T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,56,EXCLOSA,subproducte BRISA,"{""KG"": ""9500"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000020"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-03T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,57,EXCLOSA,subproducte BRISA,"{""KG"": ""13360"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000021"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-04T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,58,EXCLOSA,subproducte BRISA,"{""KG"": ""13200"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000023"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-11T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,59,EXCLOSA,subproducte BRISA,"{""KG"": ""10880"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000024"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-10T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,60,EXCLOSA,subproducte BRISA,"{""KG"": ""9340"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000025"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-08T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/15"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,61,EXCLOSA,subproducte BRISA,"{""KG"": ""9280"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000026"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-10T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,62,EXCLOSA,subproducte BRISA,"{""KG"": ""15880"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000027"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-13T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,63,EXCLOSA,subproducte BRISA,"{""KG"": ""14600"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000028"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-16T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,64,EXCLOSA,subproducte BRISA,"{""KG"": ""14320"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000029"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-16T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,65,EXCLOSA,subproducte BRISA,"{""KG"": ""14340"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000031"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-18T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,66,EXCLOSA,subproducte BRISA,"{""KG"": ""12000"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000032"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-18T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,67,EXCLOSA,subproducte BRISA,"{""KG"": ""11620"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000033"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-19T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/22"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,68,EXCLOSA,subproducte BRISA,"{""KG"": ""9380"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000034"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-24T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/23"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
