fitxer,full,fila,resultat,motiu,dades
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,8,EXCLOSA,Bag in Box,"{""KG"": null, ""ECO"": ""X"", ""VTO"": null, ""PREU"": null, ""B / N"": ""N"", ""TOTAL"": ""2502"", ""CLIENT"": ""AARSTIDERNE A/S - ENGROS"", ""LITRES"": ""1080"", ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""EMCS"", ""Nº GUIA"": ""25000000079"", ""PRODUCTE"": ""BIB BLANC ECOLÒGIC"", ""DATA GUIA"": ""2025-02-25T00:00:00.000Z"", ""GRAU EMCS"": ""12.3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/128"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": ""1080""}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,9,EXCLOSA,Bag in Box,"{""KG"": null, ""ECO"": ""X"", ""VTO"": null, ""PREU"": ""1.75"", ""B / N"": ""N"", ""TOTAL"": ""1890"", ""CLIENT"": ""AARSTIDERNE A/S - ENGROS"", ""LITRES"": ""1080"", ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": ""1080"", ""COMPROB."": null, ""DOCUMENT"": ""EMCS"", ""Nº GUIA"": ""24000000229"", ""PRODUCTE"": ""BIB NEGRE ECOLÒGIC"", ""DATA GUIA"": ""2024-11-26T00:00:00.000Z"", ""GRAU EMCS"": ""12.5"", ""GRAU REAL"": null, ""Nº FACT."": ""224/51"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,13,REBUTJADA,fila sense client o producte,"{""KG"": null, ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""ANUL·LADA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""EMCS"", ""Nº GUIA"": ""24000000201"", ""PRODUCTE"": null, ""DATA GUIA"": ""2024-08-27T00:00:00.000Z"", ""GRAU EMCS"": null, ""GRAU REAL"": null, ""Nº FACT."": null, ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,14,REBUTJADA,fila sense client o producte,"{""KG"": null, ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""ANUL·LADA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""EMCS"", ""Nº GUIA"": ""24000000202"", ""PRODUCTE"": null, ""DATA GUIA"": ""2024-08-27T00:00:00.000Z"", ""GRAU EMCS"": null, ""GRAU REAL"": null, ""Nº FACT."": null, ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,40,EXCLOSA,subproducte BRISA,"{""KG"": ""10940"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""187.29"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000003"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-19T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/11"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,41,EXCLOSA,subproducte BRISA,"{""KG"": ""10080"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""172.44"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000004"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-21T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,42,EXCLOSA,subproducte BRISA,"{""KG"": ""10520"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""180.44"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000005"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-23T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,43,EXCLOSA,subproducte BRISA,"{""KG"": ""9560"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000007"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-24T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,44,EXCLOSA,subproducte BRISA,"{""KG"": ""9640"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000008"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-27T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,45,EXCLOSA,subproducte BRISA,"{""KG"": ""12320"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000009"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-28T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,46,EXCLOSA,subproducte BRISA,"{""KG"": ""13220"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000010"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-28T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,47,EXCLOSA,subproducte BRISA,"{""KG"": ""7440"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000011"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-09-29T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/9"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
VENTES CAVA G I GS.xlsx,GUIES AGOST 24 - JULIOL 25,48,EXCLOSA,subproducte BRISA,"{""KG"": ""9740"", ""ECO"": null, ""VTO"": null, ""PREU"": null, ""B / N"": null, ""TOTAL"": ""[object Object]"", ""CLIENT"": ""CADES PENEDÈS SA"", ""LITRES"": null, ""col_22"": null, ""col_23"": null, ""col_24"": null, ""col_25"": null, ""col_26"": null, ""VI VELL"": null, ""COMPROB."": null, ""DOCUMENT"": ""DAV"", ""Nº GUIA"": ""24000000012"", ""PRODUCTE"": ""BRISA"", ""DATA GUIA"": ""2024-08-30T00:00:00.000Z"", ""GRAU EMCS"": ""3"", ""GRAU REAL"": null, ""Nº FACT."": ""224/10"", ""VI TÈRBOL"": null, ""IMPORT 2024"": null, ""IMPORT VELL"": null, ""COLLITA 2024"": null}"
